net,length_um
_0019_,2.025
_0028_,2.025
_0035_,2.025
_0012_,1.865
_0016_,1.865
_0024_,1.865
_0033_,1.865
_0042_,1.865
_0190_,1.82
net32,1.82
_0444_,1.72
_0174_,1.7
_0224_,1.7
_0243_,1.7
_0415_,1.7
_0490_,1.7
_0040_,1.685
_0044_,1.685
_0126_,1.68
_0027_,1.405
_0029_,1.405
_0307_,1.38
_0513_,1.36
_0115_,1.26
_0156_,1.26
_0185_,1.26
_0198_,1.26
_0215_,1.26
_0220_,1.26
_0236_,1.26
_0262_,1.26
_0283_,1.26
_0296_,1.26
_0347_,1.26
_0401_,1.26
_0467_,1.26
_0500_,1.26
_0511_,1.26
_0515_,1.26
_0052_,1.14
_0053_,1.14
_0067_,1.14
_0081_,1.14
_0099_,1.14
_0175_,1.14
_0188_,1.14
_0233_,1.14
_0455_,0.94
_0252_,0.92
_0399_,0.92
_0468_,0.92
_0476_,0.92
_0149_,0.82
_0123_,0.46
_0396_,0.46
_0426_,0.46
net22,0.46
net26,0.46
